movie_id,originalTitle,description,ratingCategory,genres
tt8332922,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",PG-13,"Drama,Horror,Sci-Fi"
tt6105098,The Lion King,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",PG,"Adventure,Animation,Drama"
tt6823368,Glass,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",PG-13,"Drama,Horror,Sci-Fi"
tt8228288,The Platform,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,TV-MA,"Horror,Sci-Fi,Thriller"
tt7713068,Birds of Prey,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",R,"Action,Comedy,Crime"
tt2935510,Ad Astra,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.",PG-13,"Adventure,Drama,Mystery"
tt8936646,Extraction,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",R,"Action,Thriller"
tt2704998,Game Night,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,R,"Action,Adventure,Comedy"
tt1051906,The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",R,"Drama,Horror,Mystery"
tt7984734,The Lighthouse,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,R,"Drama,Fantasy,Horror"
tt5164214,Ocean's Eight,Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's annual Met Gala.,PG-13,"Action,Comedy,Crime"
tt3281548,Little Women,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",PG,"Drama,Romance"
tt6806448,Fast & Furious Presents: Hobbs & Shaw,Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.,PG-13,"Action,Adventure,Thriller"
tt1365519,Tomb Raider,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft disappeared.",PG-13,"Action,Adventure,Fantasy"
tt5083738,The Favourite,"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",R,"Biography,Comedy,Drama"
tt5606664,Doctor Sleep,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",R,"Drama,Fantasy,Horror"
tt7846844,Enola Holmes,"When Enola Holmes (Sherlock's teen sister) discovers her mother is missing, she endeavours to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy.",PG-13,"Action,Adventure,Crime"
tt4779682,The Meg,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,PG-13,"Action,Horror,Sci-Fi"
tt6499752,Upgrade,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",R,"Action,Sci-Fi,Thriller"
tt6565702,Dark Phoenix,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",PG-13,"Action,Adventure,Sci-Fi"
tt9620292,Promising Young Woman,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",R,"Crime,Drama,Mystery"
tt1213641,First Man,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",PG-13,"Biography,Drama,History"
tt2873282,Red Sparrow,"Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",R,"Action,Drama,Thriller"
tt3741700,Godzilla: King of the Monsters,"The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",PG-13,"Action,Adventure,Fantasy"
tt1560220,Zombieland: Double Tap,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",R,"Action,Comedy,Horror"
tt8106534,6 Underground,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.",R,"Action,Thriller"
tt6450804,Terminator: Dark Fate,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",R,"Action,Adventure,Sci-Fi"
tt2066051,Rocketman,A musical fantasy about the fantastical human story of Elton John's breakthrough years.,R,"Biography,Drama,Music"
tt1070874,The Trial of the Chicago 7,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",R,"Drama,History,Thriller"
tt4520988,Frozen II,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",PG,"Adventure,Animation,Comedy"
tt3766354,The Equalizer 2,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",R,"Action,Crime,Thriller"
tt5104604,Isle of Dogs,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",PG-13,"Adventure,Animation,Comedy"
tt3104988,Crazy Rich Asians,This contemporary romantic comedy based on a global bestseller follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.,PG-13,"Comedy,Drama,Romance"
tt1028856,Episode #1.35,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,Not Rated,"Documentary,News,Talk-Show"
tt4701182,Bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",PG-13,"Action,Adventure,Sci-Fi"
tt2231461,Rampage,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",PG-13,"Action,Adventure,Sci-Fi"
tt1027238,Just Friends,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",PG-13,Comedy
tt7556122,The Old Guard,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,R,"Action,Thriller"
tt5884052,Pokémon: Detective Pikachu,"In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",PG,"Action,Adventure,Comedy"
tt5848272,Ralph Breaks the Internet,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",PG,"Adventure,Animation,Comedy"
tt7668870,Searching,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",PG-13,"Drama,Mystery,Thriller"
tt9770150,Nomadland,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",R,Drama
tt9484998,Palm Springs,"Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again.",R,"Comedy,Fantasy,Mystery"
tt7798634,Ready or Not,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,R,"Action,Comedy,Horror"
tt4729430,Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",PG,"Adventure,Animation,Comedy"
tt1502397,Bad Boys for Life,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,R,"Action,Comedy,Crime"
tt6155172,Roma,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,R,Drama
tt1502407,Halloween,"Laurie Strode confronts her long-time foe, Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",R,"Crime,Horror,Thriller"
tt5814060,The Nun,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,R,"Horror,Mystery,Thriller"
tt7146812,Onward,"In a magical world full of technological advances, elven brothers Ian and Barley Lightfoot set out on an adventure to resurrect their late father for a day.",PG,"Action,Adventure,Animation"
tt6412452,The Ballad of Buster Scruggs,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",R,"Comedy,Drama,Musical"
tt1618434,Murder Mystery,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",PG-13,"Action,Comedy,Crime"
tt8079248,Yesterday,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where they never existed.,PG-13,"Comedy,Fantasy,Music"
tt5052474,Sicario: Day of the Soldado,"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",R,"Action,Crime,Drama"
tt6628394,Bad Times at the El Royale,"1969. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",R,"Crime,Drama,Mystery"
tt7040874,A Simple Favor,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",R,"Comedy,Crime,Mystery"
tt6266538,Vice,"The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that are still felt today.",R,"Biography,Comedy,Drama"
tt4566758,Mulan,"To keep her ailing father from serving in the Imperial Army, a fearless young woman disguises herself as a man and battles northern invaders in China.",PG-13,"Action,Adventure,Drama"
tt4500922,Maze Runner: The Death Cure,"Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",PG-13,"Action,Adventure,Sci-Fi"
tt3794354,Sonic the Hedgehog,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",PG,"Action,Adventure,Comedy"
tt6343314,Creed II,"Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",PG-13,"Action,Drama,Sport"
tt1314396,Episode #59.68,"Borat returns to America from Kazakhstan to America, this time to reveal more about the American culture, the COVD-19 pandemic, and the political elections.",R,Game-Show
tt7959026,The Mule,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,R,"Crime,Drama,Thriller"
tt7395114,The Devil All the Time,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,R,"Crime,Drama,Thriller"
tt7984766,The King,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",R,"Biography,Drama,History"
tt2386490,How to Train Your Dragon: The Hidden World,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",PG,"Action,Adventure,Animation"
tt5363618,Sound of Metal,A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence.,R,"Drama,Music"
tt2283336,Men in Black: International,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.",PG-13,"Action,Adventure,Comedy"
tt2854926,Tag,"A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",R,"Action,Comedy"
tt9893250,I Care a Lot,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,R,"Comedy,Crime,Drama"
tt1488606,Triple Frontier,"Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.",R,"Action,Thriller"
tt3829266,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",R,"Action,Adventure,Horror"
tt2222042,Love and Monsters,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his high school sweetheart.",PG-13,"Action,Adventure,Comedy"
tt5886046,Escape Room,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,PG-13,"Action,Adventure,Horror"
tt1571234,Mortal Engines,"In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",PG-13,"Action,Adventure,Fantasy"
tt9495224,Black Mirror: Bandersnatch,A young programmer starts to question reality when he adapts a mad writer's fantasy novel into a video game.,TV-MA,"Drama,Fantasy,Mystery"
tt8110330,Dil Bechara,"The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group.",Not Rated,"Comedy,Drama,Romance"
tt5758778,Skyscraper,"A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",PG-13,"Action,Adventure,Thriller"
tt8404614,The Two Popes,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.",PG-13,"Biography,Comedy,Drama"
tt7737786,Greenland,A family struggles for survival in the face of a cataclysmic natural disaster.,PG-13,"Action,Thriller"
tt1489887,Booksmart,"On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",R,Comedy
tt2557478,Pacific Rim: Uprising,"Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat.",PG-13,"Action,Adventure,Sci-Fi"
tt8244784,The Hunt,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",R,"Action,Horror,Thriller"
tt6394270,Bombshell,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,R,"Biography,Drama"
tt5164432,"Love, Simon","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",PG-13,"Comedy,Drama"
tt1590193,The Commuter,An insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.,PG-13,"Action,Mystery,Thriller"
tt1018951,¡Pedro Infante vive!,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",TV-MA,"Biography,Documentary,Music"
tt1259528,Den of Thieves,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,R,"Action,Crime,Drama"
tt3846674,To All the Boys I've Loved Before,A teenage girl's secret love letters are exposed and wreak havoc on her love life.,TV-14,"Comedy,Drama,Romance"
tt1025100,Gemini Man,An over-the-hill hitman faces off against a younger clone of himself.,PG-13,"Action,Sci-Fi,Thriller"
tt2139881,Long Shot,"Journalist, Fred Flarsky, reunites with his childhood crush, Charlotte Field; now one of the most influential women in the world. As she prepares to run for president, Charlotte hires Fred as her speechwriter, and sparks fly.",R,"Comedy,Romance"
tt7401588,Instant Family,A couple find themselves in over their heads when they foster three children.,PG-13,"Comedy,Drama"
tt4777008,Maleficent: Mistress of Evil,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",PG,"Adventure,Family,Fantasy"
tt2548396,The Cloverfield Paradox,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.",PG-13,"Action,Horror,Sci-Fi"
tt6048922,Greyhound,"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.",PG-13,"Action,Drama,History"
tt8503618,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",PG-13,"Biography,Drama,History"
tt6189022,Angel Has Fallen,Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.,R,"Action,Thriller"
tt1206885,Rambo: Last Blood,Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.,R,"Action,Crime,Thriller"
tt5503686,Hustlers,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.",R,"Comedy,Crime,Drama"
tt7752126,Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",R,"Drama,Horror,Mystery"
tt6911608,Mamma Mia! Here We Go Again,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",PG-13,"Comedy,Musical,Romance"
tt4530422,Overlord,A small group of American soldiers find horror behind enemy lines on the eve of D-Day.,R,"Action,Horror,Sci-Fi"
tt8613070,Portrait of a Lady on Fire,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",R,"Drama,Romance"
tt4218572,Widows,Four women with nothing in common except a debt left behind by their dead husbands' criminal activities take fate into their own hands and conspire to forge a future on their own terms.,R,"Crime,Drama,Thriller"
tt8267604,Capernaum,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",R,Drama
tt8580274,Eurovision Song Contest: The Story of Fire Saga,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",PG-13,"Comedy,Music"
tt2481498,"Extremely Wicked, Shockingly Evil and Vile","A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.",R,"Biography,Crime,Drama"
tt8108198,Andhadhun,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Not Rated,"Crime,Mystery,Thriller"
tt1860242,The Highwaymen,The untold true story of the legendary detectives who brought down Bonnie and Clyde.,R,"Biography,Crime,Drama"
tt4364194,The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.,PG-13,"Adventure,Comedy,Drama"
tt6292852,I Am Mother,"In the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",TV-14,"Drama,Mystery,Sci-Fi"
